Carrozzeria,id_annuncio,Alimentazione,Tipo di veicolo,Anno,Marca,Modello,Porte,Posti a sedere,Tipo di cambio,Tipo di unita,Colore esterno,Emissioni di CO2,Rivestimenti,Colore originale,Marce,Tipo di vernice,Peso a vuoto,Usato Garantito,Per neopatentati,Proprietari,Cilindrata,Classe emissioni,Cilindri,Veicolo per non fumatori,Consumo carburante,Tagliandi certificati
Berlina,8bb28234-252f-4321-85ac-ed9a55a944c6,Elettrica,KM0,2018,Renault,ZOE,5,5,Automatico,anteriore,Lilla,0 g CO2/km (comb.),"Alcantara, Nero",Viola Mirtillo,1,Metallizzato,1543,,Sì,1,1,Euro 6,1,Sì,,
Berlina,e74adfaf-d1ad-4a0c-b35c-32dc53b14955,Elettrica,KM0,2018,Renault,ZOE,5,5,Automatico,anteriore,Bianco,0 g CO2/km (comb.),"Stoffa, Nero",Bianco Ghiaccio,1,,1543,,,1,1,,1,,,
Berlina,ea077397-fa16-4b1b-82b1-b72bb36f835e,Elettrica,KM0,2018,Citroen,C-Zero,5,4,Manuale,posteriore,Bianco,0 g CO2/km (comb.),"Stoffa, Beige",Bianco,,Base,1195,18 mese,Sì,,,,,,,
Altro,f1075e0b-79cd-4643-8ab0-87f41c94f338,Elettrica,KM0,2020,Peugeot,208,5,5,Automatico,anteriore,Blu/Azzurro,0 g CO2/km (comb.),Alcantara,Blu,1,,,24 mese,,,,,,,,
Altro,bbdf62f8-f8b0-4cbe-8ae8-3c8ab70bf1ac,Elettrica,KM0,2020,Opel,Corsa,,,Manuale,anteriore,Blu/Azzurro,0 g CO2/km (comb.),Altro,Blu,,,,,,,,,,,,
Altro,715bb9f2-096f-4cf6-9c99-d06d62a3ba4c,Elettrica,KM0,2020,Opel,Corsa,,,Manuale,anteriore,Blu/Azzurro,0 g CO2/km (comb.),Altro,Blu,,,,,,,,,,,,
Monovolume,5003c685-6227-4493-bd83-242d0ac01378,Elettrica,KM0,2018,Peugeot,Partner,4,3,Automatico,anteriore,Bianco,0 g CO2/km (comb.),"Stoffa, Nero",Bianco,1,Base,1703,12 mese,Sì,,,,,,,
Monovolume,c3f8acc5-0df9-494b-bb5f-48078c587a53,Elettrica,KM0,2018,Peugeot,Partner,4,3,Automatico,anteriore,Bianco,0 g CO2/km (comb.),"Stoffa, Nero",Bianco,1,Base,1703,12 mese,Sì,,,,,,,
Monovolume,79ba97f9-2a8e-4aa2-bc2a-bed67c720e35,Elettrica,KM0,2018,Peugeot,Partner,3,2,Automatico,anteriore,Bianco,0 g CO2/km (comb.),"Stoffa, Nero",Bianco,1,Base,1664,12 mese,Sì,,,,,,,
Monovolume,270b0a6d-1e8d-4157-a131-4f9ebc9cb02c,Elettrica,KM0,2018,Peugeot,Partner,3,2,Automatico,anteriore,Bianco,0 g CO2/km (comb.),"Stoffa, Nero",Bianco,1,Base,1664,12 mese,Sì,,,,,,,
Monovolume,7298805d-86f8-416a-ba92-84bac2cc9984,Elettrica,KM0,2020,Renault,Kangoo,4,2,Automatico,anteriore,Grigio,0 g CO2/km (comb.),,Antracite,1,Base,1476,,Sì,,,,,,,
