Carrozzeria,id_annuncio,Alimentazione,Tipo di veicolo,Anno,Marca,Modello,Porte,Posti a sedere,Tipo di cambio,Tipo di unita,Colore esterno,Emissioni di CO2,Rivestimenti,Colore originale,Marce,Tipo di vernice,Peso a vuoto,Usato Garantito,Per neopatentati,Proprietari,Cilindrata,Classe emissioni,Cilindri,Veicolo per non fumatori,Consumo carburante,Tagliandi certificati
SUV/Fuoristrada/Pick-up,c287a247-0d06-4f6d-a31e-2cb4542a71df,Elettrica,KM0,2020,Peugeot,2008,5,5,Automatico,anteriore,Blu/Azzurro,0 g CO2/km (comb.),"Altro, Nero",,1,Metallizzato,,24 mese,,,,,,,,
SUV/Fuoristrada/Pick-up,3efe1e82-d462-44a5-9afe-5b6054b97504,Elettrica,KM0,2020,Hyundai,Kona,5,5,Automatico,anteriore,Bianco,0 g CO2/km (comb.),"Pelle totale, Grigio",Bianco,,Base,,,,,,Euro 6,,,,
SUV/Fuoristrada/Pick-up,b9a5988f-c2a0-4217-b0ee-932962e31f84,Elettrica,KM0,2020,Audi,e-tron,5,5,Automatico,4x4,Blu/Azzurro,0 g CO2/km (comb.),"Pelle totale, Nero",Blu plasma,1,,,,,,,,,Sì,,
SUV/Fuoristrada/Pick-up,1cce7063-e875-44b2-b679-2a4654d55cf7,Elettrica,KM0,2020,DS Automobiles,DS 3,5,5,Automatico,anteriore,Grigio,0 g CO2/km (comb.),"Altro, Altro",Cristallo,1,Metallizzato,,24 mese,,,,,,,,
SUV/Fuoristrada/Pick-up,77b1b4d8-90f0-4206-bb56-eca8069d911e,Elettrica,KM0,2020,Audi,e-tron,5,5,Automatico,4x4,Grigio,0 g CO2/km (comb.),,Grigio scuro pastello,,Base,,,,,1,,,,,
SUV/Fuoristrada/Pick-up,fc038a4b-d950-4634-81fc-d1ce864cf3fe,Elettrica,KM0,2020,Ford,Kuga,5,5,Automatico,anteriore,Grigio,,"Pelle totale, Altro",,,,,,,,,,,,"1,2 l/100 km (comb.)",
SUV/Fuoristrada/Pick-up,7fb7e74f-6d18-4004-b717-4868f195dc37,Elettrica,KM0,2020,Jaguar,I-Pace,5,5,Automatico,4x4,Nero,0 g CO2/km (comb.),"Pelle totale, Beige",Nero,,Metallizzato,,,,,,,,,,
SUV/Fuoristrada/Pick-up,36f8814b-a276-4525-a6ef-a2b0d9b83597,Elettrica,KM0,2020,Audi,e-tron,5,5,Automatico,4x4,Nero,0 g CO2/km (comb.),,Nero Brillante,,,,,,1,,,,Sì,,
SUV/Fuoristrada/Pick-up,d681afb5-7c32-4b06-954d-d88e52d15d87,Elettrica,KM0,2020,Ford,Kuga,5,5,Automatico,anteriore,Nero,0 g CO2/km (comb.),"Altro, Altro",,,Metallizzato,,24 mese,,,2499,,,,,
SUV/Fuoristrada/Pick-up,e32245af-e4f2-423f-b25d-5972ed1c5d46,Elettrica,KM0,2020,DS Automobiles,DS 3 Crossback,5,5,Automatico,anteriore,Grigio,0 g CO2/km (comb.),"Altro, Altro",GRIGIO CRISTALLO METALLIZZATO,,Metallizzato,,,,,,,,,,
