seller,vehicle,country,address,id_annuncio,asking_price,conditional_on_price,price,link_annuncio,vehicle_user_desc
Ratti non Solo Auto srl,Opel Astra,IT,23890 Barzago - Lecco - Lc,ae187fa0-3f56-451c-b7f7-04e4cdf62f39,"€ 17.737,- 12",12,17737,https://www.autoscout24.it/annunci/opel-astra-5-serie-1-5-105cv-gs-line-mt6-diesel-grigio-ae187fa0-3f56-451c-b7f7-04e4cdf62f39?cldtidx=8&cldtsrc=listPage,5ª serie 1.5 105CV GS Line MT6
Gabellini Srl,Volkswagen Sharan,Di Oronzo William,IT,b7fa5910-8605-41a2-a351-bb55cd645cae,"€ 42.500,- 12",12,42500,https://www.autoscout24.it/annunci/volkswagen-sharan-2-0-tdi-150-cv-scr-dsg-executive-bluemotion-tech-diesel-nero-b7fa5910-8605-41a2-a351-bb55cd645cae?cldtidx=9&cldtsrc=listPage,2.0 TDI 150 CV SCR DSG Executive BlueMotion Tech.
Di Viesto Più Spa,Volkswagen Polo,IT,10134 Torino-To,312841c7-182f-4b1b-9d5b-d068b16b3206,"€ 18.350,- 12",12,18350,https://www.autoscout24.it/annunci/volkswagen-polo-1-6-tdi-95-cv-5p-comfortline-diesel-nero-312841c7-182f-4b1b-9d5b-d068b16b3206?cldtidx=10&cldtsrc=listPage,1.6 TDI 95 CV 5p. Comfortline
Di Viesto Più Spa,Volkswagen Polo,IT,10134 Torino-To,a6d6fb37-6cac-47fa-b9cd-f4ab5ab61c66,"€ 21.050,- 12",12,21050,https://www.autoscout24.it/annunci/volkswagen-polo-1-6-tdi-95-cv-dsg-5p-comfortline-tech-pack-fen-diesel-grigio-a6d6fb37-6cac-47fa-b9cd-f4ab5ab61c66?cldtidx=11&cldtsrc=listPage,1.6 TDI 95 CV DSG 5p Comfortline + Tech Pack + Fen
My Car,Peugeot 208,IT,38068 Rovereto - Trento - Tn,efa6e5fa-ddbd-481a-89b9-7529d33d55e4,"€ 14.900,- 12",12,14900,https://www.autoscout24.it/annunci/peugeot-208-bluehdi-100cv-5pt-active-pack-silver-diesel-grigio-efa6e5fa-ddbd-481a-89b9-7529d33d55e4?cldtidx=12&cldtsrc=listPage,BlueHDi 100cv 5pt Active + Pack Silver
Pelloni Auto Spa,Nissan Micra,IT,41122 Modena - Mo,83a0f33a-ba9f-4d96-820c-d23e31fa38e5,"€ 15.900,- 2",2,15900,https://www.autoscout24.it/annunci/nissan-micra-1-5-dci-90-cv-n-connecta-km-zero-km0-cerchi-lega-diesel-argento-83a0f33a-ba9f-4d96-820c-d23e31fa38e5?cldtidx=13&cldtsrc=listPage,1.5 dCi 90 CV N CONNECTA KM ZERO KM0 CERCHI LEGA
Pelloni Auto Spa,Nissan Micra,IT,41122 Modena - Mo,1376b1ee-193f-4cc3-9fc7-36adf7116828,"€ 13.950,- 2",2,13950,https://www.autoscout24.it/annunci/nissan-micra-15-dci-90-cv-acenta-cerchi-in-lega-km-zero-garanz-diesel-grigio-1376b1ee-193f-4cc3-9fc7-36adf7116828?cldtidx=14&cldtsrc=listPage,15 DCI 90 CV ACENTA CERCHI IN LEGA KM ZERO GARANZ
Saicar Srl,Fiat 500,IT,10071 Mappano Di Borgaro - Torino - To,e550dcff-3ee2-4c6e-b01e-5e9ca4a2cbbb,"€ 12.500,- 2",2,12500,https://www.autoscout24.it/annunci/fiat-500-1-3-multijet-95-cv-lounge-diesel-nero-e550dcff-3ee2-4c6e-b01e-5e9ca4a2cbbb?cldtidx=15&cldtsrc=listPage,1.3 Multijet 95 CV Lounge
Di Viesto Più Spa,Volkswagen Polo,IT,10134 Torino-To,b8f9080e-7f42-4c2e-9650-b13571f1dc63,"€ 19.250,- 12",12,19250,https://www.autoscout24.it/annunci/volkswagen-polo-1-6-tdi-95-cv-5p-comfortline-tech-pack-fendi-diesel-bianco-b8f9080e-7f42-4c2e-9650-b13571f1dc63?cldtidx=16&cldtsrc=listPage,1.6 TDI 95 CV 5p. Comfortline + Tech Pack + Fendi
Di Viesto Più Spa,Volkswagen Polo,IT,10134 Torino-To,95d26a5b-767b-42dc-93b1-ccee3f317bde,"€ 18.400,- 12",12,18400,https://www.autoscout24.it/annunci/volkswagen-polo-1-6-tdi-95-cv-5p-comfortline-gomme-invernali-4-diesel-argento-95d26a5b-767b-42dc-93b1-ccee3f317bde?cldtidx=17&cldtsrc=listPage,1.6 TDI 95 CV 5p. Comfortline + Gomme invernali (4
NANNI NEMBER SRL,BMW 116,IT,25126 Brescia - Bs,f49a7a79-2f39-4088-bd21-b29a3e1af01a,"€ 29.200,- 2",2,29200,https://www.autoscout24.it/annunci/bmw-116-d-sportline-diesel-bianco-f49a7a79-2f39-4088-bd21-b29a3e1af01a?cldtidx=18&cldtsrc=listPage,d SPORTLINE
Sinauto Srl,Fiat 500L,IT,25080 Molinetto Di Mazzano - Brescia - Bs,4f0c9432-cdd2-4450-aca4-ab5395cbcfa5,"€ 15.480,- 2",2,15480,https://www.autoscout24.it/annunci/fiat-500l-1-3-mjtd-cross-brown-km-zero-diesel-marrone-4f0c9432-cdd2-4450-aca4-ab5395cbcfa5?cldtidx=19&cldtsrc=listPage,1.3 MJTD CROSS BROWN KM ZERO
Di Viesto Più Spa,Volkswagen Polo,IT,10134 Torino-To,97bc090b-5166-41be-b100-7b8833690334,"€ 19.500,- 12",12,19500,https://www.autoscout24.it/annunci/volkswagen-polo-1-6-tdi-95-cv-5p-highline-gomme-invernali-4-an-diesel-bianco-97bc090b-5166-41be-b100-7b8833690334?cldtidx=20&cldtsrc=listPage,1.6 TDI 95 CV 5p. Highline + Gomme Invernali (4 AN
JW Club Srl,Peugeot 208,IT,24050 Mornico al Serio – Bergamo – Bg,6c1dfc0b-b84e-4151-bc1e-35b8c806c0f0,"€ 19.500,- 12",12,19500,https://www.autoscout24.it/annunci/peugeot-208-pure-tech-100-s-s-allure-diesel-nero-6c1dfc0b-b84e-4151-bc1e-35b8c806c0f0?cldtidx=1&cldtsrc=listPage,Pure Tech 100 S&S Allure
F.lli Barisan,Alfa Romeo MiTo,IT,31053 Pieve di Soligo - Treviso,aa9ebb4f-8ba6-4a59-842c-b2d75f9a54c3,"€ 12.800,- 12",12,12800,https://www.autoscout24.it/annunci/alfa-romeo-mito-1-3-jtdm-95-cv-s-s-diesel-rosso-aa9ebb4f-8ba6-4a59-842c-b2d75f9a54c3?cldtidx=2&cldtsrc=listPage,1.3 JTDm 95 CV S&S
Autoservice di Mrf srl,Opel Astra,IT,19020 Brugnato - Spezia - Sp,8d737845-4831-42d3-b827-2b677b8ec061,"€ 20.800,- 2",2,20800,https://www.autoscout24.it/annunci/opel-astra-1-6-cdti-110cv-start-stop-5-porte-dynamic-diesel-grigio-8d737845-4831-42d3-b827-2b677b8ec061?cldtidx=3&cldtsrc=listPage,1.6 CDTi 110CV Start&Stop 5 porte Dynamic
Bertolucci E Coluccini Srl,Volkswagen,IT,55054 Massarosa - Lucca - Lu,30792a8a-b6b2-4d23-979b-ed222523e980,"€ 48.950,- 2",2,48950,https://www.autoscout24.it/annunci/volkswagen-2-0-tdi-150cv-dsg-trendline-diesel-beige-30792a8a-b6b2-4d23-979b-ed222523e980?cldtidx=4&cldtsrc=listPage,2.0 TDI 150CV DSG Trendline
Di Viesto Più Spa,Volkswagen Polo,IT,10134 Torino-To,27c40587-dab7-425c-9d39-a78c70157ecb,"€ 19.400,- 12",12,19400,https://www.autoscout24.it/annunci/volkswagen-polo-1-6-tdi-95-cv-5p-highline-gomme-invernali-tec-diesel-argento-27c40587-dab7-425c-9d39-a78c70157ecb?cldtidx=5&cldtsrc=listPage,1.6 TDI 95 CV 5p. Highline + Gomme invernali + Tec
Mobility.it - Km 0 - Gruppo Lario,MINI One D,IT,20125 Milano - Mi,3d5a141a-59de-492d-8917-17e91e8bd1e3,"€ 20.800,- 2",2,20800,https://www.autoscout24.it/annunci/mini-one-d-one-d-xy11-diesel-verde-3d5a141a-59de-492d-8917-17e91e8bd1e3?cldtidx=6&cldtsrc=listPage,ONE D (XY11)
Mobility.it - Km 0 - Gruppo Lario,MINI Cooper D,IT,20125 Milano - Mi,054bb3c9-580a-4eb0-aef2-39d5b443a3a5,"€ 25.400,- 2",2,25400,https://www.autoscout24.it/annunci/mini-cooper-d-cooper-d-5p-a-xv31-diesel-blu-azzurro-054bb3c9-580a-4eb0-aef2-39d5b443a3a5?cldtidx=7&cldtsrc=listPage,COOPER D 5P. A- (XV31)
